Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides AutoTP2R1	Peptides AutoTP2R2	Peptides AutoTP2R3	Peptides HeteTP4R1	Peptides HeteTP4R2	Peptides HeteTP4R3	Peptides MixoTP4R1	Peptides MixoTP4R2	Peptides MixoTP4R3	Razor + unique peptides AutoTP2R1	Razor + unique peptides AutoTP2R2	Razor + unique peptides AutoTP2R3	Razor + unique peptides HeteTP4R1	Razor + unique peptides HeteTP4R2	Razor + unique peptides HeteTP4R3	Razor + unique peptides MixoTP4R1	Razor + unique peptides MixoTP4R2	Razor + unique peptides MixoTP4R3	Unique peptides AutoTP2R1	Unique peptides AutoTP2R2	Unique peptides AutoTP2R3	Unique peptides HeteTP4R1	Unique peptides HeteTP4R2	Unique peptides HeteTP4R3	Unique peptides MixoTP4R1	Unique peptides MixoTP4R2	Unique peptides MixoTP4R3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type AutoTP2R1	Identification type AutoTP2R2	Identification type AutoTP2R3	Identification type HeteTP4R1	Identification type HeteTP4R2	Identification type HeteTP4R3	Identification type MixoTP4R1	Identification type MixoTP4R2	Identification type MixoTP4R3	Sequence coverage AutoTP2R1 [%]	Sequence coverage AutoTP2R2 [%]	Sequence coverage AutoTP2R3 [%]	Sequence coverage HeteTP4R1 [%]	Sequence coverage HeteTP4R2 [%]	Sequence coverage HeteTP4R3 [%]	Sequence coverage MixoTP4R1 [%]	Sequence coverage MixoTP4R2 [%]	Sequence coverage MixoTP4R3 [%]	Intensity	Intensity AutoTP2R1	Intensity AutoTP2R2	Intensity AutoTP2R3	Intensity HeteTP4R1	Intensity HeteTP4R2	Intensity HeteTP4R3	Intensity MixoTP4R1	Intensity MixoTP4R2	Intensity MixoTP4R3	LFQ intensity AutoTP2R1	LFQ intensity AutoTP2R2	LFQ intensity AutoTP2R3	LFQ intensity HeteTP4R1	LFQ intensity HeteTP4R2	LFQ intensity HeteTP4R3	LFQ intensity MixoTP4R1	LFQ intensity MixoTP4R2	LFQ intensity MixoTP4R3	MS/MS count AutoTP2R1	MS/MS count AutoTP2R2	MS/MS count AutoTP2R3	MS/MS count HeteTP4R1	MS/MS count HeteTP4R2	MS/MS count HeteTP4R3	MS/MS count MixoTP4R1	MS/MS count MixoTP4R2	MS/MS count MixoTP4R3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
g11186.t1	g11186.t1	3	3	3		1	3	3	3	2	1	1	1	0	2	3	2	2	2	1	1	1	0	2	3	2	2	2	1	1	1	0	2	3	2	2	11.9	11.9	11.9	43.884	411	411	1	18	0	22.213	By matching	By matching	By matching	By matching		By matching	By MS/MS	By MS/MS	By matching	8.3	3.4	3.4	3.4	0	8.3	11.9	8.3	8.3	5053400	145150	51756	15280	92979	0	933950	1606500	1907500	300300	273390	0	0	0	0	462530	711370	1498900	372440	0	0	0	0	0	0	2	3	0	5				83	986;1970;3574	True;True;True	1043;2103;3845	6931;6932;6933;6934;6935;6936;6937;6938;6939;13936;13937;13938;13939;13940;13941;13942;13943;25716	2447;2448;2449;4976;9169	2447;4976;9169		
g11189.t1	g11189.t1	2	2	2		1	2	2	2	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	2	1	2	21.2	21.2	21.2	12.771	118	118	1	12	0	23.224	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	12.7	21.2	12.7	12.7	12.7	12.7	21.2	12.7	21.2	4604900	553160	725470	294360	177640	298920	320300	1320700	698010	216370	0	1026000	0	0	0	0	1094200	0	413180	1	1	0	0	0	0	2	1	0	5				84	2690;2718	True;True	2903;2932	19370;19371;19372;19538;19539;19540;19541;19542;19543;19544;19545;19546	6809;6810;6879;6880;6881	6810;6879		
g1119.t1	g1119.t1	2	2	2		1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	13	13	13	15.003	138	138	1	18	0	12.241	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By MS/MS	13	13	13	13	13	13	13	13	13	9434300	1678300	815240	737620	922970	1058800	1203900	1059700	982980	974790	1553100	0	1635400	1121500	990290	0	844190	0	1444400	1	0	1	1	1	0	1	0	1	6				85	1477;1993	True;True	1572;2127	10422;10423;10424;10425;10426;10427;10428;10429;10430;14127;14128;14129;14130;14131;14132;14133;14134;14135	3711;5044;5045;5046;5047;5048	3711;5048		
g11201.t1	g11201.t1	3	3	2		1	3	3	2	1	3	2	2	2	3	3	2	3	1	3	2	2	2	3	3	2	3	1	2	1	1	2	2	2	2	2	21.6	21.6	16.2	22.887	204	204	1	21	0	19.689	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	7.8	21.6	13.2	13.7	16.2	21.6	21.6	16.2	21.6	11960000	313660	675970	361600	662930	1932100	3803700	1289900	1380900	1539600	0	1129600	0	1370900	2150400	1662000	748460	1051200	1520700	0	1	0	0	2	1	1	0	2	7				86	158;1975;2304	True;True;True	161;2108;2492	1039;1040;1041;1042;1043;1044;1045;1046;13982;13983;13984;13985;13986;13987;16576;16577;16578;16579;16580;16581;16582	370;371;4987;4988;4989;4990;5856;5857;5858	371;4987;5856	46;47	165;167
g11225.t1	g11225.t1	2	2	2		1	2	2	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	6.1	6.1	6.1	50.377	505	505	1	10	0	12.076	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	2.4	6.1	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2138900	216830	31546	8911.7	239370	719880	279990	120650	424610	97094	0	0	0	0	0	0	0	0	119710	0	1	0	1	1	1	0	1	0	5				87	474;2992	True;True	501;3223	3265;21508;21509;21510;21511;21512;21513;21514;21515;21516	1167;7640;7641;7642;7643	1167;7640		
g11242.t1	g11242.t1	10	10	6		1	10	10	6	5	8	5	7	6	8	8	8	9	5	8	5	7	6	8	8	8	9	4	5	4	5	4	5	6	6	6	58.4	58.4	55.2	13.046	125	125	1	79	0	220.74	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	45.6	52.8	48	58.4	55.2	55.2	58.4	58.4	58.4	253790000	9841400	24087000	8316200	55877000	28470000	55738000	18824000	38044000	14591000	6015900	27495000	17374000	115960000	44988000	26611000	9546100	8177200	9373500	2	4	2	4	2	4	0	1	1	20				88	581;639;640;699;761;762;2427;2428;3483;3484	True;True;True;True;True;True;True;True;True;True	614;674;675;738;804;805;2626;2627;3746;3747	3990;3991;3992;3993;3994;3995;3996;3997;4410;4411;4412;4413;4414;4415;4416;4417;4418;4419;4847;4848;4849;4850;4851;4852;4853;4854;4855;4856;4857;4858;4859;5297;5298;5299;5300;5301;5302;5303;5304;5305;5306;5307;5308;5309;5310;5311;5312;5313;5314;5315;5316;5317;5318;5319;5320;5321;17497;17498;17499;17500;17501;17502;17503;17504;17505;17506;17507;17508;17509;17510;25069;25070;25071;25072;25073;25074;25075;25076;25077	1431;1432;1574;1575;1576;1577;1578;1719;1720;1721;1722;1723;1893;1894;1895;1896;1897;1898;6179;6180;6181;6182;6183;6184;6185;6186;8948;8949;8950	1432;1575;1577;1721;1893;1898;6184;6185;8948;8949		
g11270.t1	g11270.t1	4	4	4		1	4	4	4	3	2	1	1	1	2	2	3	3	3	2	1	1	1	2	2	3	3	3	2	1	1	1	2	2	3	3	10.8	10.8	10.8	62.646	581	581	1	18	0	24.572	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	8.6	6	2.1	2.1	2.1	6	6	8.8	8.3	3095100	410810	64392	58657	219460	133170	597180	559590	861460	190360	0	0	0	0	0	0	0	516750	0	0	0	1	0	0	0	1	0	0	2				89	36;2051;2090;2733	True;True;True;True	36;2191;2230;2949	209;210;14568;14569;14570;14571;14572;14573;14574;14575;14822;14823;14824;14825;14826;14827;19650;19651	67;5207;5275;6919	67;5207;5275;6919		
g11293.t1	g11293.t1	2	2	2		1	2	2	2	0	1	1	2	1	1	1	1	1	0	1	1	2	1	1	1	1	1	0	1	1	2	1	1	1	1	1	12	12	12	20.294	183	183	1	9	0	17.194		By matching	By matching	By MS/MS	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	0	7.1	7.1	12	7.1	7.1	7.1	7.1	7.1	4507100	0	122270	233510	1377000	624090	425240	498780	749820	476310	0	0	0	1982500	0	0	0	0	0	0	0	0	2	0	1	0	1	1	5				90	2484;2773	True;True	2686;2989	17936;17937;17938;17939;17940;17941;17942;17943;19953	6349;6350;6351;6352;7019	6349;7019		
g11303.t1	g11303.t1	3	3	3		1	3	3	3	0	0	1	2	1	3	3	3	3	0	0	1	2	1	3	3	3	3	0	0	1	2	1	3	3	3	3	9.9	9.9	9.9	43.72	425	425	1	16	0	18.169			By matching	By MS/MS	By matching	By matching	By matching	By MS/MS	By matching	0	0	4.9	4.9	2.1	9.9	9.9	9.9	9.9	3076300	0	0	40233	144200	120570	817670	331310	992060	630220	0	0	0	297440	0	436200	308200	651640	602460	0	0	0	1	0	0	0	2	0	3				91	462;2052;2438	True;True;True	488;2192;2638	3173;3174;3175;3176;3177;14576;14577;14578;14579;14580;14581;17574;17575;17576;17577;17578	1135;5208;6212	1135;5208;6212		
g11320.t1	g11320.t1	2	2	2		1	2	2	2	2	2	1	1	0	0	1	1	0	2	2	1	1	0	0	1	1	0	2	2	1	1	0	0	1	1	0	15.2	15.2	15.2	18.342	178	178	1	8	0	13.829	By MS/MS	By MS/MS	By matching	By MS/MS			By matching	By matching		15.2	15.2	8.4	6.7	0	0	6.7	8.4	0	3792600	952770	984390	4300.1	946310	0	0	752850	152030	0	0	1848600	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2				92	2365;2779	True;True	2560;2995;2996	17069;17070;17071;17072;19981;19982;19983;19984	6030;7030;7031	6030;7030	48	127
g11334.t1	g11334.t1	6	6	6		1	6	6	6	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	6	5	5	34.5	34.5	34.5	24.153	220	220	1	46	0	51.859	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	34.5	26.8	34.5	34.5	29.1	29.1	34.5	34.5	34.5	66039000	2588800	1043900	3256700	3978200	12917000	12417000	13256000	10840000	5741900	2474800	1395300	8170600	5539400	6481500	5591900	10477000	9114900	9336800	2	0	3	2	0	0	4	3	2	16				93	480;1069;2559;3085;3245;3433	True;True;True;True;True;True	507;1134;2769;3323;3492;3693	3304;3305;3306;3307;3308;3309;3310;3311;3312;7539;7540;7541;7542;7543;7544;7545;7546;7547;18472;18473;18474;18475;18476;18477;18478;18479;18480;22191;22192;22193;22194;23301;23302;23303;23304;23305;23306;23307;23308;24702;24703;24704;24705;24706;24707;24708	1187;2676;2677;2678;6506;6507;6508;7871;8290;8291;8292;8293;8805;8806;8807;8808;8809	1187;2676;6507;7871;8291;8806		
g11341.t1	g11341.t1	3	3	3		1	3	3	3	2	1	0	0	0	1	0	2	1	2	1	0	0	0	1	0	2	1	2	1	0	0	0	1	0	2	1	11.8	11.8	11.8	52.542	502	502	1	7	0	21.031	By MS/MS	By MS/MS				By matching		By MS/MS	By matching	8	4.2	0	0	0	3.8	0	8	4.2	1798300	315480	115850	0	0	0	275030	0	925150	166770	315480	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	3				94	403;767;2420	True;True;True	425;810;2619	2790;5349;5350;5351;5352;17453;17454	1014;1909;6164	1014;1909;6164		
g11349.t1	g11349.t1	5	5	5		1	5	5	5	3	0	1	4	4	5	2	4	2	3	0	1	4	4	5	2	4	2	3	0	1	4	4	5	2	4	2	20.7	20.7	20.7	33.279	299	299	1	25	0	34.448	By MS/MS		By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	11.4	0	3.3	17.1	15.1	20.7	7.4	17.1	7	12586000	672530	0	172040	1064400	3003700	4769500	557800	2056800	289250	1351500	0	0	1257800	1859400	1810100	879200	948010	1293600	0	0	0	1	2	2	0	2	0	7				95	946;1170;1643;2862;3542	True;True;True;True;True	1001;1237;1752;3084;3810	6653;6654;6655;6656;6657;8209;8210;8211;8212;8213;8214;11659;11660;11661;11662;11663;11664;11665;20574;20575;20576;25484;25485;25486;25487	2365;2366;2931;2932;2933;2934;4146;7301;9092	2366;2932;4146;7301;9092	49;50	107;203
g11359.t1	g11359.t1	9	9	9		1	9	9	9	8	6	3	2	5	5	8	6	7	8	6	3	2	5	5	8	6	7	8	6	3	2	5	5	8	6	7	32.2	32.2	32.2	48.528	459	459	1	71	0	77.628	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	30.3	25.1	10	10.5	22	23.3	30.3	26.4	27.2	61857000	12706000	4299400	494470	543260	6239300	5257100	14634000	10973000	6709800	10095000	7619200	2099000	3764700	4207200	4888100	7908200	5845200	5937900	9	2	1	1	0	0	2	2	3	20				96	907;928;1407;1683;2331;2639;3004;3284;3314	True;True;True;True;True;True;True;True;True	960;982;1501;1799;2522;2850;3236;3532;3562;3563	6340;6341;6342;6343;6344;6345;6346;6347;6348;6349;6350;6351;6513;6514;6515;6516;6517;6518;9985;9986;9987;9988;9989;9990;9991;9992;12030;16812;16813;16814;16815;16816;16817;16818;16819;16820;16821;16822;16823;16824;16825;19030;19031;19032;19033;19034;21574;21575;21576;21577;21578;21579;21580;23579;23580;23763;23764;23765;23766;23767;23768;23769;23770;23771;23772;23773;23774;23775;23776;23777;23778	2246;2247;2296;2297;3580;3581;4295;5962;5963;6685;7663;8398;8473;8474;8475;8476;8477;8478;8479;8480;8481;8482;8483	2246;2297;3581;4295;5962;6685;7663;8398;8473	51	154
g11362.t1	g11362.t1	5	5	5		1	5	5	5	3	4	5	4	0	3	4	5	4	3	4	5	4	0	3	4	5	4	3	4	5	4	0	3	4	5	4	86.2	86.2	86.2	5.6902	58	58	1	35	0	39.128	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By matching	By MS/MS	By MS/MS	By MS/MS	63.8	86.2	86.2	86.2	0	63.8	63.8	86.2	86.2	24600000	3677500	2686000	1903400	1437200	0	2782200	5462600	4453300	2197900	4385200	4641100	4104300	2577000	0	2101500	2852900	2627000	2983300	3	1	4	1	0	0	1	1	2	13				97	527;1154;2605;2837;2838	True;True;True;True;True	557;1221;2816;3059;3060	3656;3657;3658;3659;3660;8107;8108;8109;8110;8111;8112;8113;8114;18823;18824;18825;18826;18827;20403;20404;20405;20406;20407;20408;20409;20410;20411;20412;20413;20414;20415;20416;20417;20418;20419	1311;1312;2888;2889;2890;6611;7220;7221;7222;7223;7224;7225;7226;7227	1311;2889;6611;7220;7227		
g11430.t1	g11430.t1	7	7	7		1	7	7	7	4	4	6	4	4	4	6	4	5	4	4	6	4	4	4	6	4	5	4	4	6	4	4	4	6	4	5	51.2	51.2	51.2	23.192	217	217	1	41	0	66.107	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	31.3	29.5	40.6	31.8	24.9	30.4	47	23.5	37.8	29501000	5465900	2639100	2276100	1275100	1944100	2790400	8035000	3109800	1964800	6696100	2658100	4016200	4790300	1727200	2098400	4279600	2372900	2225800	3	1	5	1	2	1	3	1	2	19				98	191;1540;1659;1703;2432;3281;3364	True;True;True;True;True;True;True	197;1641;1770;1819;2632;3529;3617	1272;1273;1274;1275;1276;10887;10888;10889;10890;10891;11782;11783;11784;11785;11786;11787;12170;12171;12172;12173;12174;12175;17537;17538;17539;17540;17541;17542;23557;23558;23559;23560;23561;23562;24141;24142;24143;24144;24145;24146;24147	481;482;483;484;3880;3881;4203;4204;4333;4334;6193;6194;6195;6196;6197;8391;8392;8393;8611;8612	483;3880;4204;4333;6195;8391;8611	52	187
g11435.t1	g11435.t1	3	3	3		1	3	3	3	0	0	1	1	3	1	0	1	0	0	0	1	1	3	1	0	1	0	0	0	1	1	3	1	0	1	0	5.3	5.3	5.3	69.229	642	642	1	7	0	21.271			By matching	By matching	By MS/MS	By matching		By matching		0	0	1.6	2	5.3	1.6	0	1.6	0	1061800	0	0	28309	237100	366640	341340	0	88390	0	0	0	0	0	289060	0	0	0	0	0	0	0	0	3	0	0	0	0	3				99	269;2674;3257	True;True;True	281;2886;3505	1812;19261;19262;19263;19264;23397;23398	689;6762;8331	689;6762;8331	53	327
g11440.t1	g11440.t1	12	12	12		1	12	12	12	12	12	7	7	9	11	12	12	10	12	12	7	7	9	11	12	12	10	12	12	7	7	9	11	12	12	10	51	51	51	31.02	286	286	1	105	0	128.93	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	51	51	21.3	21.3	45.8	46.5	51	51	50.3	117520000	15597000	12264000	1472500	1629800	6272600	17525000	28239000	24671000	9853700	16595000	21757000	4953600	4312000	6515800	8407200	16123000	12303000	14303000	7	5	4	2	3	3	7	6	5	42				100	552;832;949;1304;1340;1341;1762;2001;2212;2766;3321;3600	True;True;True;True;True;True;True;True;True;True;True;True	584;880;1005;1391;1427;1428;1881;2135;2366;2367;2982;3571;3871	3812;3813;3814;3815;3816;5836;5837;5838;5839;5840;5841;5842;6682;6683;6684;6685;6686;6687;6688;6689;6690;9267;9268;9269;9270;9271;9501;9502;9503;9504;9505;9506;9507;9508;9509;9510;9511;9512;9513;9514;9515;9516;12550;12551;12552;12553;12554;12555;12556;12557;12558;12559;12560;12561;12562;12563;12564;12565;12566;14185;14186;14187;14188;14189;14190;14191;15748;15749;15750;15751;15752;15753;15754;15755;15756;15757;15758;15759;15760;15761;19904;19905;19906;19907;19908;19909;19910;23816;23817;23818;23819;23820;23821;23822;23823;23824;25866;25867;25868;25869;25870;25871;25872;25873;25874	1366;1367;2098;2099;2100;2372;3338;3339;3416;3417;3418;3419;3420;3421;3422;3423;4456;4457;4458;4459;4460;5061;5062;5590;5591;5592;5593;5594;5595;5596;5597;7000;7001;8497;8498;8499;8500;8501;8502;8503;9244;9245;9246;9247	1367;2098;2372;3338;3418;3420;4456;5061;5595;7000;8500;9245	54	171
g11442.t1	g11442.t1	3	3	3		1	3	3	3	1	0	3	2	2	1	2	3	2	1	0	3	2	2	1	2	3	2	1	0	3	2	2	1	2	3	2	7.4	7.4	7.4	40.754	378	378	1	16	0	19.013	By matching		By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By matching	2.6	0	7.4	5.3	5.3	2.6	4.8	7.4	5.3	5047500	143780	0	428410	747130	1028000	760010	490760	1155200	294140	0	0	788700	0	0	0	637120	659910	0	0	0	1	1	0	0	1	1	0	4				101	428;3534;3535	True;True;True	451;3802;3803	2937;2938;2939;2940;2941;2942;25429;25430;25431;25432;25433;25434;25435;25436;25437;25438	1060;1061;9067;9068	1060;9067;9068		
g11457.t1	g11457.t1	9	9	9		1	9	9	9	6	4	6	5	8	8	5	7	7	6	4	6	5	8	8	5	7	7	6	4	6	5	8	8	5	7	7	30.5	30.5	30.5	39.396	370	370	1	64	0	98.599	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.9	13	18.9	12.2	28.4	28.4	13.5	25.1	22.4	93541000	2565900	558820	4442100	13059000	22379000	29639000	2525300	10958000	7414000	3915000	0	9474600	21693000	18150000	13242000	1500700	5614100	7054400	0	2	2	3	3	3	1	2	2	18				102	793;1096;1320;1978;3165;3169;3340;3593;3721	True;True;True;True;True;True;True;True;True	839;1162;1407;2111;3406;3407;3411;3593;3864;3996	5535;5536;5537;5538;5539;5540;5541;7726;9377;9378;9379;9380;9381;9382;9383;9384;14000;14001;14002;14003;14004;14005;14006;14007;14008;22702;22703;22704;22705;22706;22707;22708;22709;22710;22711;22712;22713;22714;22738;22739;22740;22741;22742;22743;22744;22745;23977;23978;23979;23980;23981;23982;23983;23984;23985;25829;25830;25831;26695;26696;26697;26698;26699;26700	1983;1984;1985;1986;1987;1988;2745;3376;3377;3378;4995;4996;8050;8051;8052;8053;8060;8563;9221;9534;9535	1983;2745;3377;4995;8050;8060;8563;9221;9534	55;56;57	71;134;330
g11511.t1	g11511.t1	5	5	5		1	5	5	5	4	3	5	4	5	5	5	3	3	4	3	5	4	5	5	5	3	3	4	3	5	4	5	5	5	3	3	16.8	16.8	16.8	33.291	315	315	1	37	0	32.74	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	11.7	12.1	16.8	14.6	16.8	16.8	16.8	9.5	14.3	21552000	2163100	204780	1196800	1788900	3845400	4699600	4188300	2565900	898850	3607900	0	0	2381700	1766100	1551100	3362400	2320400	0	1	0	0	1	1	1	1	1	0	6				103	122;894;3260;3261;3572	True;True;True;True;True	124;947;3508;3509;3842	800;801;802;803;804;805;806;6264;6265;6266;6267;6268;6269;6270;6271;6272;23411;23412;23413;23414;23415;23416;23417;23418;23419;23420;23421;23422;23423;23424;25696;25697;25698;25699;25700;25701;25702	284;2221;8334;8335;8336;9164	284;2221;8334;8336;9164		
g11518.t1	g11518.t1	4	4	4		1	4	4	4	2	2	3	2	3	1	3	2	3	2	2	3	2	3	1	3	2	3	2	2	3	2	3	1	3	2	3	18.1	18.1	18.1	27.633	265	265	1	21	0	42.732	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	14.7	14.7	14.7	8.7	18.1	3.4	18.1	12.8	18.1	27768000	5066000	1083300	5569500	1444500	3974000	122330	3834300	3138200	3536200	4538500	3856200	9044800	5641200	3973400	0	1947200	0	4035000	1	0	1	1	0	0	2	0	0	5				104	543;1565;3091;3448	True;True;True;True	574;1668;3330;3708	3760;3761;3762;3763;3764;3765;3766;11053;11054;11055;11056;11057;11058;22236;22237;22238;22239;22240;22241;22242;24821	1352;1353;3937;7883;8865	1352;3937;7883;8865		
g11538.t1	g11538.t1	3	3	3		1	3	3	3	3	1	2	2	1	3	3	3	3	3	1	2	2	1	3	3	3	3	3	1	2	2	1	3	3	3	3	6.9	6.9	6.9	53.235	480	480	1	23	0	22.926	By MS/MS	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.9	2.1	4.4	4.4	2.3	6.9	6.9	6.9	6.9	8414600	541800	90763	123750	451310	413540	2801200	1264800	1988800	738660	457030	0	618040	750470	0	1640600	737460	1079100	360430	2	0	0	0	0	2	2	3	2	11				105	921;1845;3584	True;True;True	974;1968;1969;3855	6456;6457;6458;6459;6460;13067;13068;13069;13070;13071;13072;13073;13074;13075;13076;25777;25778;25779;25780;25781;25782;25783;25784	2278;2279;2280;2281;2282;4641;4642;9201;9202;9203;9204	2282;4642;9202	58	380
g11552.t1	g11552.t1	3	3	3		1	3	3	3	3	3	1	2	3	1	2	1	3	3	3	1	2	3	1	2	1	3	3	3	1	2	3	1	2	1	3	23	23	23	24.178	226	226	1	22	0	18.777	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	23	23	11.1	15.9	23	7.1	15.9	4.9	23	5461400	1017300	757100	99653	331400	1260600	273970	596430	329190	795690	1156200	1035700	0	0	819600	0	863040	0	947810	2	0	1	0	0	1	0	0	1	5				106	1192;2510;2952	True;True;True	1261;2712;3177	8374;8375;8376;8377;8378;8379;8380;18112;18113;18114;18115;18116;18117;18118;18119;18120;18121;21177;21178;21179;21180;21181	2988;6397;6398;7511;7512	2988;6397;7511		
g11556.t1	g11556.t1	4	4	4		1	4	4	4	1	1	2	3	1	2	2	3	3	1	1	2	3	1	2	2	3	3	1	1	2	3	1	2	2	3	3	7.2	7.2	7.2	94.613	874	874	1	18	0	24.201	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	2.1	1.6	3.7	4.9	2.1	3.3	4.3	4.9	5.9	3101100	125120	36408	243220	722040	172650	201560	660880	551310	387910	0	0	621070	982040	0	202810	0	284890	0	0	0	1	2	0	0	1	0	0	4				107	81;759;2219;3204	True;True;True;True	82;802;2380;3448	529;530;5287;5288;5289;5290;5291;15861;15862;15863;15864;15865;15866;15867;15868;23011;23012;23013	191;1891;5633;8170	191;1891;5633;8170		
g11581.t1	g11581.t1	2	2	2		1	2	2	2	2	0	2	0	0	0	2	2	2	2	0	2	0	0	0	2	2	2	2	0	2	0	0	0	2	2	2	14.5	14.5	14.5	23.59	220	220	1	16	0	15.681	By MS/MS		By matching				By MS/MS	By MS/MS	By matching	14.5	0	14.5	0	0	0	14.5	14.5	14.5	4501100	398950	0	382280	0	0	0	1316800	1836500	566500	483540	0	556500	0	0	0	706210	684430	610940	1	0	0	0	0	0	3	2	0	6				108	319;2993	True;True	332;333;3224;3225	2187;2188;2189;2190;2191;2192;2193;2194;21517;21518;21519;21520;21521;21522;21523;21524	803;804;805;7644;7645;7646	805;7645	59;60	115;159
g11584.t1	g11584.t1	2	2	2		1	2	2	2	2	1	2	2	1	1	2	1	2	2	1	2	2	1	1	2	1	2	2	1	2	2	1	1	2	1	2	14.2	14.2	14.2	23.897	232	232	1	14	0	12.258	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	14.2	4.3	14.2	14.2	9.9	9.9	14.2	9.9	14.2	2874000	556070	94341	261410	260670	283610	180140	547910	327350	362460	583470	0	578500	353490	0	0	435870	0	0	1	1	1	1	0	0	1	0	0	5				109	1803;1995	True;True	1925;2129	12828;12829;12830;12831;12832;12833;12834;12835;14139;14140;14141;14142;14143;14144	4555;4556;4557;5050;5051	4555;5051		
g11626.t1	g11626.t1	6	6	6		1	6	6	6	1	3	1	6	3	0	3	2	2	1	3	1	6	3	0	3	2	2	1	3	1	6	3	0	3	2	2	17.9	17.9	17.9	57.431	588	588	1	23	0	56.369	By matching	By matching	By matching	By MS/MS	By matching		By MS/MS	By MS/MS	By matching	2.6	9.2	2.9	17.9	9.5	0	9.5	7	7	14064000	33177	382450	123010	9477900	2007100	0	478170	1043200	518830	0	1333000	0	14004000	664720	0	372380	524810	0	0	0	0	7	0	0	1	1	0	9				110	631;632;1077;1209;2107;3173	True;True;True;True;True;True	666;667;1142;1278;2247;3416	4366;4367;4368;4369;4370;4371;4372;7584;8512;14942;14943;14944;14945;14946;14947;14948;14949;22773;22774;22775;22776;22777;22778	1559;1560;2688;3056;5312;5313;5314;8073;8074	1559;1560;2688;3056;5314;8073		
